title,examples,benefit,icon,diet_type,region,risk,priority,weight_g,calories,protein_g,fiber_g,gi_index
Oats Upma (129g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,East,High,2,129,137,1.1,0.4,58
Oats Upma (264g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,West,High,3,264,352,2.4,0.9,51
Brown Rice with Sambar (149g),Brown Rice with Sambar | Brown Rice with Sambar variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Non-Vegetarian,North,Moderate,1,149,174,1.0,0.3,46
Oats Upma (297g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,East,High,4,297,352,1.6,1.1,63
Mutton Soup (234g),Mutton Soup | Mutton Soup variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,West,Moderate,2,234,281,2.2,0.6,44
Lauki Curry with Brown Rice (220g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Non-Vegetarian,East,Moderate,1,220,230,2.2,0.6,63
Grilled Fish with Veggies (274g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,North,Low,3,274,323,2.3,0.7,48
Poha with Veggies (229g),Poha with Veggies | Poha with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,North,Low,1,229,250,2.7,0.8,64
Jowar Roti with Bhindi (327g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,East,Low,3,327,471,2.4,0.8,59
Grilled Chicken Salad (305g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,East,Moderate,1,305,397,2.9,0.7,57
Steamed Prawns with Veggies (163g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,West,High,5,163,234,1.4,0.6,44
Bajra Roti (310g),Bajra Roti | Bajra Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,South,Moderate,2,310,464,3.3,0.8,51
Masoor Dal with Red Rice (211g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,West,Low,2,211,232,1.6,0.8,65
Grilled Chicken Salad (128g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,West,Moderate,2,128,138,1.3,0.3,42
Oats Upma (155g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,East,High,3,155,186,1.2,0.3,55
Bajra Roti (228g),Bajra Roti | Bajra Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,South,Low,3,228,323,1.4,0.7,50
Egg Curry with Roti (193g),Egg Curry with Roti | Egg Curry with Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,East,Moderate,5,193,248,1.6,0.5,36
Grilled Fish with Veggies (231g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,West,High,3,231,301,2.4,0.8,49
Grilled Chicken Salad (216g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,South,Moderate,1,216,303,2.2,0.4,54
Jowar Roti with Bhindi (119g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,West,Moderate,5,119,134,0.9,0.4,38
Lauki Curry with Brown Rice (148g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Non-Vegetarian,East,Low,3,148,159,1.3,0.4,63
Steamed Prawns with Veggies (229g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,South,High,3,229,230,2.7,0.7,65
Steamed Prawns with Veggies (158g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,South,High,2,158,177,1.6,0.5,60
Oats Upma (258g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,East,Moderate,3,258,287,2.6,0.6,39
Grilled Fish Curry (234g),Grilled Fish Curry | Grilled Fish Curry variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Non-Vegetarian,South,Moderate,5,234,238,2.4,0.5,51
Chicken Stew with Appam (348g),Chicken Stew with Appam | Chicken Stew with Appam variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Non-Vegetarian,West,Low,4,348,456,3.7,1.3,55
Grilled Chicken Salad (211g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Non-Vegetarian,East,Moderate,2,211,309,2.0,0.5,55
Chicken Tikka (175g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Non-Vegetarian,East,Moderate,3,175,260,1.1,0.4,61
Sprouts Salad (277g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Non-Vegetarian,West,Moderate,4,277,299,2.7,0.9,35
Masoor Dal with Red Rice (286g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,West,High,1,286,341,3.2,0.7,59
Masoor Dal with Red Rice (329g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,West,High,5,329,489,2.2,1.1,39
Grilled Fish with Veggies (338g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,North,Moderate,1,338,379,3.2,0.8,43
Poha with Veggies (156g),Poha with Veggies | Poha with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,West,Low,5,156,212,0.9,0.4,59
Moong Dal Khichdi (107g),Moong Dal Khichdi | Moong Dal Khichdi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,South,High,3,107,111,0.8,0.3,43
Jowar Roti with Bhindi (175g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,North,Low,4,175,260,1.7,0.4,51
Lauki Curry with Brown Rice (202g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Non-Vegetarian,South,High,5,202,244,2.2,0.8,46
Ragi Dosa (321g),Ragi Dosa | Ragi Dosa variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,West,Moderate,3,321,371,2.9,0.7,58
Moong Dal Khichdi (139g),Moong Dal Khichdi | Moong Dal Khichdi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,East,High,5,139,143,1.4,0.3,38
Brown Rice with Sambar (293g),Brown Rice with Sambar | Brown Rice with Sambar variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,South,High,3,293,399,1.5,1.0,46
Masoor Dal with Red Rice (266g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,West,Low,4,266,283,2.6,1.0,35
Bajra Roti (251g),Bajra Roti | Bajra Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,North,Low,4,251,266,3.0,0.7,40
Moong Dal Khichdi (102g),Moong Dal Khichdi | Moong Dal Khichdi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,West,Moderate,1,102,152,0.7,0.3,39
Steamed Prawns with Veggies (300g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,South,Low,1,300,324,2.2,1.1,64
Mixed Veg Sabzi with Chapati (289g),Mixed Veg Sabzi with Chapati | Mixed Veg Sabzi with Chapati variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,West,High,5,289,330,2.7,1.0,44
Mixed Veg Sabzi with Chapati (308g),Mixed Veg Sabzi with Chapati | Mixed Veg Sabzi with Chapati variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,East,Moderate,2,308,429,3.4,0.9,51
Brown Rice with Sambar (172g),Brown Rice with Sambar | Brown Rice with Sambar variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,East,Moderate,5,172,241,1.6,0.6,57
Sprouts Salad (115g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Non-Vegetarian,West,High,4,115,142,0.7,0.2,39
Oats Upma (294g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,South,Moderate,3,294,332,1.6,0.6,63
Ragi Dosa (252g),Ragi Dosa | Ragi Dosa variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,South,High,3,252,332,2.8,0.6,36
Egg Curry with Roti (131g),Egg Curry with Roti | Egg Curry with Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,West,High,5,131,171,1.3,0.4,42
Chicken Tikka (111g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,East,High,4,111,141,0.7,0.4,54
Bajra Roti (239g),Bajra Roti | Bajra Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,West,High,3,239,353,2.8,0.7,44
Jowar Roti with Bhindi (329g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,East,Low,3,329,376,2.2,1.0,59
Sprouts Salad (194g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,South,Moderate,2,194,257,1.7,0.6,57
Bajra Roti (241g),Bajra Roti | Bajra Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,North,High,3,241,338,2.0,0.9,59
Chicken Stew with Appam (242g),Chicken Stew with Appam | Chicken Stew with Appam variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,North,High,3,242,297,1.4,0.6,39
Chicken Stew with Appam (159g),Chicken Stew with Appam | Chicken Stew with Appam variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,South,Moderate,1,159,199,0.9,0.4,36
Chicken Tikka (341g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,East,High,4,341,494,3.1,0.7,55
Grilled Fish Curry (149g),Grilled Fish Curry | Grilled Fish Curry variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Non-Vegetarian,West,Low,1,149,194,1.0,0.5,36
Poha with Veggies (279g),Poha with Veggies | Poha with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,North,Moderate,2,279,343,2.1,0.6,36
Jowar Roti with Bhindi (313g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,South,Moderate,4,313,439,1.7,0.7,44
Brown Rice with Sambar (154g),Brown Rice with Sambar | Brown Rice with Sambar variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,West,Low,1,154,155,0.9,0.5,48
Chicken Stew with Appam (343g),Chicken Stew with Appam | Chicken Stew with Appam variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Non-Vegetarian,West,Low,5,343,378,4.1,0.8,43
Chicken Stew with Appam (225g),Chicken Stew with Appam | Chicken Stew with Appam variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,West,Moderate,2,225,273,2.4,0.6,41
Egg Curry with Roti (245g),Egg Curry with Roti | Egg Curry with Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,South,Moderate,4,245,255,1.4,0.7,41
Grilled Fish Curry (274g),Grilled Fish Curry | Grilled Fish Curry variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,East,Moderate,2,274,357,1.7,1.0,38
Steamed Prawns with Veggies (158g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,North,Low,4,158,214,1.8,0.4,49
Grilled Chicken Salad (302g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,North,Moderate,1,302,329,2.3,1.0,65
Grilled Chicken Salad (165g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Non-Vegetarian,East,High,4,165,224,1.6,0.4,45
Fish Curry with Brown Rice (236g),Fish Curry with Brown Rice | Fish Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,East,Low,5,236,327,2.6,0.9,54
Sprouts Salad (267g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Non-Vegetarian,South,Low,2,267,315,2.7,0.9,42
Sprouts Salad (185g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Non-Vegetarian,West,Low,5,185,204,1.9,0.4,45
Poha with Veggies (342g),Poha with Veggies | Poha with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,West,Low,5,342,497,4.1,1.1,54
Poha with Veggies (272g),Poha with Veggies | Poha with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,East,Moderate,1,272,407,2.7,0.8,54
Mixed Veg Sabzi with Chapati (173g),Mixed Veg Sabzi with Chapati | Mixed Veg Sabzi with Chapati variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,North,High,2,173,189,1.9,0.6,46
Steamed Prawns with Veggies (243g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,West,Low,5,243,319,2.4,0.7,41
Masoor Dal with Red Rice (201g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,North,Moderate,1,201,281,1.2,0.6,61
Chicken Tikka (231g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,East,High,4,231,238,2.2,0.6,56
Steamed Prawns with Veggies (222g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,West,High,4,222,299,1.7,0.5,56
Chicken Tikka (301g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,East,Moderate,5,301,413,3.0,0.6,39
Steamed Prawns with Veggies (314g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,South,High,2,314,346,2.4,0.7,42
Oats Upma (202g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,West,Low,4,202,276,1.9,0.7,51
Lauki Curry with Brown Rice (195g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,North,Low,5,195,209,1.4,0.8,45
Lauki Curry with Brown Rice (296g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Non-Vegetarian,West,Low,1,296,364,3.2,1.0,62
Grilled Fish Curry (330g),Grilled Fish Curry | Grilled Fish Curry variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,North,Moderate,5,330,359,2.9,0.8,54
Grilled Fish Curry (290g),Grilled Fish Curry | Grilled Fish Curry variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,South,Moderate,5,290,300,3.4,1.0,37
